OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity,Sales Person-ID
2022-05-29,2022-04-28,SO73771,541,24338,4,1,2,ID0018
2022-09-27,2022-08-04,SO64746,214,17338,6,4,1,ID0007
2022-03-20,2021-12-30,SO72309,487,22483,7,4,1,ID0014
2022-09-26,2022-08-10,SO69863,477,13079,9,1,2,ID0009
2022-04-02,2022-02-21,SO66838,582,20879,10,1,1,ID0017
2022-01-04,2021-10-16,SO68502,528,26879,8,2,2,ID0009
2022-10-24,2022-08-26,SO69978,530,11931,4,2,1,ID0001
2022-03-27,2022-02-13,SO63792,480,12771,4,2,2,ID0009
2022-05-02,2022-04-01,SO61975,476,21971,9,1,1,ID0013
2022-02-20,2021-12-17,SO65354,310,16217,1,1,1,ID0006
2022-03-26,2022-03-02,SO62299,215,29046,1,3,1,ID0001
2022-07-18,2022-06-24,SO64814,477,12880,6,1,2,ID0011
2022-02-22,2022-02-02,SO72645,477,11102,9,1,2,ID0019
2022-09-15,2022-08-03,SO66015,528,15169,9,2,2,ID0019
2022-04-18,2022-03-13,SO62274,529,17732,9,2,2,ID0012
2022-09-04,2022-06-28,SO63022,310,22069,4,1,1,ID0007
2022-03-24,2022-02-22,SO72966,223,13767,8,2,1,ID0005
2022-01-04,2021-11-18,SO67051,485,21823,8,3,3,ID0018
2022-05-09,2022-04-23,SO67838,389,13011,9,1,1,ID0004
2022-03-12,2022-01-23,SO63978,352,16019,4,1,1,ID0008
2022-03-14,2022-01-24,SO73367,572,21129,8,2,1,ID0020
2022-06-05,2022-05-20,SO67406,538,18233,1,2,3,ID0020
2022-08-29,2022-06-21,SO73098,371,14033,9,1,1,ID0013
2022-10-22,2022-09-23,SO68256,582,27450,1,1,1,ID0013
2022-08-29,2022-07-05,SO63977,358,14660,1,1,1,ID0006
2022-04-26,2022-02-27,SO69132,478,18379,6,2,2,ID0017
2022-01-02,2021-11-16,SO73633,488,28511,10,2,1,ID0008
2022-07-10,2022-04-26,SO63927,352,16000,6,1,1,ID0022
2022-05-24,2022-03-02,SO66894,604,15072,7,1,1,ID0015
2022-08-08,2022-07-01,SO65756,478,15454,8,2,2,ID0021
2022-01-02,2021-11-14,SO61347,485,21816,8,3,3,ID0016
2022-10-16,2022-10-05,SO62797,356,13268,6,1,1,ID0010
2022-07-25,2022-06-15,SO61933,379,21771,4,1,1,ID0005
2022-08-05,2022-06-05,SO67784,485,11844,4,3,3,ID0004
2022-12-12,2022-09-22,SO66918,477,14269,4,1,2,ID0018
2022-04-25,2022-02-09,SO66673,360,16555,7,1,1,ID0003
2022-04-02,2022-02-20,SO66873,375,14234,9,1,1,ID0018
2022-02-26,2022-01-02,SO66962,235,15498,6,3,1,ID0002
2022-04-04,2022-02-14,SO64649,536,13589,7,1,3,ID0008
2022-10-28,2022-08-10,SO63768,220,17199,8,2,1,ID0021
2022-05-23,2022-04-16,SO73497,478,25464,7,2,2,ID0010
2022-12-13,2022-10-04,SO69246,482,18713,9,3,2,ID0017
2022-10-28,2022-08-14,SO63397,358,29376,10,1,1,ID0002
2022-09-12,2022-08-15,SO73832,537,15919,10,2,1,ID0014
2022-11-22,2022-09-28,SO70213,373,17499,4,1,1,ID0016
2022-08-13,2022-06-29,SO67562,485,23816,4,3,3,ID0017
2022-06-02,2022-03-28,SO67905,479,17907,9,2,2,ID0020
2022-11-09,2022-09-10,SO62319,529,18041,10,2,2,ID0001
2022-02-13,2021-12-02,SO68965,480,14777,10,2,2,ID0002
2022-07-07,2022-04-27,SO65402,482,15025,9,3,2,ID0011
