StockDate,ProductKey,StockQuantity
2020-05-03,371,136
2020-12-02,471,102
2020-10-24,371,204
2020-01-05,580,31
2020-01-12,310,174
2020-10-19,487,118
2020-05-23,590,110
2020-01-03,383,30
2020-05-03,371,136
2020-10-27,371,101
2020-10-18,362,371
2020-01-09,575,144
2020-01-09,575,144
2020-10-06,584,97
2020-01-07,584,36
2020-09-20,387,208
2020-01-05,383,31
2020-01-10,566,162
2020-10-19,573,118
2020-10-29,373,214
2020-12-16,561,141
2020-10-06,584,97
2020-12-04,358,338
2020-01-02,586,29
2020-09-12,360,348
2020-12-16,561,141
2020-03-10,358,80
2020-01-02,568,29
2020-01-03,383,30
2020-11-15,379,200
2020-12-01,356,347
2020-12-11,566,140
2020-10-19,573,118
2020-12-04,358,338
2020-03-10,358,80
2020-12-01,356,347
2020-09-20,387,208
2020-03-31,471,101
2020-11-12,563,90
2020-05-09,362,108
2020-01-02,568,29
2020-10-17,385,198
2020-01-05,580,31
2020-10-11,604,103
2020-10-11,604,103
2020-09-20,387,208
2020-10-11,604,103
2020-12-11,599,140
2020-12-04,358,338
2020-09-10,377,221
2020-03-10,358,80
2020-01-10,566,162
2020-12-02,595,102
2020-12-11,599,140
2020-10-17,385,198
2020-01-03,383,30
2020-04-23,354,94
2020-01-08,590,41
2020-10-06,373,97
2020-04-15,381,56
2020-03-10,358,80
2020-01-02,568,29
2020-05-16,373,95
2020-10-11,371,103
2020-04-23,354,94
2020-10-29,373,214
2020-12-16,561,141
2020-04-05,379,109
2020-05-09,362,108
2020-04-05,379,109
2020-01-02,568,29
2020-01-07,582,36
2020-09-30,383,179
2020-01-02,223,29
2020-09-20,387,208
2020-10-17,385,198
2020-03-31,471,101
2020-03-24,529,120
2020-12-02,371,102
2020-09-20,387,208
2020-09-20,387,208
2020-04-15,381,56
2020-12-16,561,141
2020-03-24,232,120
2020-12-16,570,141
2020-04-05,379,109
2020-04-15,381,56
2020-12-16,570,141
2020-10-24,371,204
2020-06-12,387,56
2020-10-06,373,97
2020-04-23,354,94
2020-09-30,383,179
2020-01-03,214,30
2020-01-01,570,27
2020-10-11,604,103
2020-01-07,584,36
2020-05-16,373,95
2020-03-10,358,80
2020-09-20,387,208
2020-01-05,580,31
2020-10-19,487,118
2020-03-31,471,101
2020-10-18,362,371
2020-10-11,604,103
2020-12-15,381,196
2020-04-18,385,63
2020-10-17,385,198
2020-04-15,381,56
2020-12-01,356,347
2020-04-05,379,109
2020-10-29,373,214
2019-09-18,529,54
2019-09-21,484,61
2019-09-17,604,71
2019-12-11,475,55
2019-12-11,352,55
2019-10-29,389,61
2019-09-18,529,54
2019-12-17,575,52
2019-10-01,539,63
2019-10-22,574,54
2019-10-22,574,54
2019-11-05,491,169
2019-12-11,537,55
2019-12-16,491,66
2019-11-05,491,169
2019-11-16,576,60
2019-09-21,362,61
2019-09-18,591,54
2019-11-05,491,169
2019-12-11,484,54
2019-12-16,574,66
2019-11-13,385,56
2019-09-18,591,54
2019-10-29,389,61
2019-12-14,606,57
2019-10-29,587,61
2019-09-21,362,61
2019-12-11,484,54
2019-12-17,379,52
2019-10-24,530,198
2019-09-21,383,61
2019-12-18,571,187
2019-11-12,483,56
2019-10-29,354,61
2019-09-17,604,71
2019-12-11,471,54
2019-12-11,484,54
2019-11-16,576,60
2019-09-21,595,61
2019-12-11,591,54
2019-10-29,389,61
2019-11-13,529,56
2019-09-18,529,54
2019-11-12,310,56
2019-10-22,581,54
2019-12-17,379,52
2019-10-24,486,198
2019-12-16,604,66
2019-11-13,529,56
2019-10-12,310,199
2019-09-18,591,54
